2022-09-29 12:31:59,786 INFO id:32, name:S2B2, tHi:25397, tLo:29726, secToRun:633, secTrig:25, secDone:633, numReq:26, waterPerc:99, weightTarg:7600, readNowFeedKG:3798, calVal:6, hall:2, cage:2, boot:1, sw:20
2022-09-29 12:31:59,824 INFO id:19, name:S2B3, tHi:25397, tLo:29726, secToRun:958, secTrig:25, secDone:958, numReq:38, waterPerc:99, weightTarg:11500, readNowFeedKG:5748, calVal:6, hall:2, cage:3, boot:1, sw:20
2022-09-29 12:31:59,899 INFO id:12, name:S2B4, tHi:25397, tLo:29726, secToRun:958, secTrig:25, secDone:150, numReq:6, waterPerc:99, weightTarg:11500, readNowFeedKG:900, calVal:6, hall:2, cage:4, boot:1, sw:19
2022-09-29 12:31:59,941 INFO id:13, name:S2B5, tHi:25397, tLo:29726, secToRun:966, secTrig:25, secDone:966, numReq:39, waterPerc:99, weightTarg:11600, readNowFeedKG:5796, calVal:6, hall:2, cage:5, boot:1, sw:20
2022-09-29 12:31:59,984 INFO id:18, name:S2B6, tHi:25397, tLo:29726, secToRun:500, secTrig:25, secDone:102, numReq:4, waterPerc:99, weightTarg:7600, readNowFeedKG:612, calVal:6, hall:2, cage:6, boot:1, sw:20
2022-09-29 12:32:00,025 INFO id:33, name:S2B7, tHi:25397, tLo:29726, secToRun:633, secTrig:25, secDone:633, numReq:26, waterPerc:99, weightTarg:7600, readNowFeedKG:3798, calVal:6, hall:3, cage:7, boot:1, sw:20
2022-09-29 12:32:00,068 INFO id:38, name:S2B8, tHi:25397, tLo:29726, secToRun:500, secTrig:25, secDone:500, numReq:20, waterPerc:99, weightTarg:6800, readNowFeedKG:3000, calVal:6, hall:2, cage:8, boot:1, sw:20
2022-09-29 12:32:00,111 INFO id:41, name:S3B1, tHi:25397, tLo:29726, secToRun:633, secTrig:25, secDone:501, numReq:20, waterPerc:0, weightTarg:7600, readNowFeedKG:3006, calVal:6, hall:3, cage:1, boot:1, sw:20
2022-09-29 12:32:00,147 INFO id:30, name:S3B2, tHi:25397, tLo:29726, secToRun:633, secTrig:25, secDone:633, numReq:26, waterPerc:99, weightTarg:7600, readNowFeedKG:3798, calVal:6, hall:3, cage:2, boot:1, sw:20
2022-09-29 12:32:00,225 INFO id:21, name:S3B3, tHi:25397, tLo:29727, secToRun:966, secTrig:25, secDone:966, numReq:39, waterPerc:99, weightTarg:11600, readNowFeedKG:5796, calVal:6, hall:1, cage:1, boot:1, sw:19
2022-09-29 12:32:00,269 INFO id:10, name:S3B4, tHi:25397, tLo:29726, secToRun:958, secTrig:25, secDone:560, numReq:22, waterPerc:99, weightTarg:11500, readNowFeedKG:3360, calVal:6, hall:3, cage:4, boot:1, sw:20
2022-09-29 12:32:00,306 INFO id:11, name:S3B5, tHi:25397, tLo:29727, secToRun:958, secTrig:25, secDone:631, numReq:25, waterPerc:99, weightTarg:11500, readNowFeedKG:3786, calVal:6, hall:3, cage:5, boot:1, sw:20
2022-09-29 12:32:00,350 INFO id:20, name:S3B6, tHi:25397, tLo:29728, secToRun:633, secTrig:25, secDone:633, numReq:26, waterPerc:99, weightTarg:7600, readNowFeedKG:3798, calVal:6, hall:1, cage:1, boot:1, sw:20
2022-09-29 12:32:00,497 INFO id:40, name:S3B8, tHi:25397, tLo:29728, secToRun:958, secTrig:25, secDone:127, numReq:5, waterPerc:99, weightTarg:11500, readNowFeedKG:762, calVal:6, hall:3, cage:8, boot:1, sw:20
2022-09-29 12:32:00,542 INFO id:43, name:S4B1, tHi:25397, tLo:29728, secToRun:966, secTrig:25, secDone:530, numReq:21, waterPerc:99, weightTarg:11600, readNowFeedKG:3180, calVal:6, hall:4, cage:1, boot:1, sw:20
2022-09-29 12:32:00,583 INFO id:28, name:S4B2, tHi:25397, tLo:29728, secToRun:958, secTrig:25, secDone:958, numReq:39, waterPerc:99, weightTarg:11500, readNowFeedKG:5748, calVal:6, hall:4, cage:2, boot:1, sw:20
2022-09-29 12:32:00,627 INFO id:8, name:S4B4, tHi:25397, tLo:29727, secToRun:966, secTrig:25, secDone:630, numReq:25, waterPerc:99, weightTarg:11600, readNowFeedKG:3780, calVal:6, hall:4, cage:4, boot:1, sw:20
2022-09-29 12:32:00,672 INFO id:9, name:S4B5, tHi:25397, tLo:29727, secToRun:966, secTrig:25, secDone:885, numReq:35, waterPerc:99, weightTarg:11600, readNowFeedKG:5310, calVal:6, hall:4, cage:5, boot:1, sw:20
2022-09-29 12:32:00,714 INFO id:22, name:S4B6, tHi:25397, tLo:29727, secToRun:633, secTrig:25, secDone:606, numReq:24, waterPerc:99, weightTarg:7600, readNowFeedKG:3636, calVal:6, hall:4, cage:6, boot:1, sw:20
2022-09-29 12:32:00,754 INFO id:29, name:S4B7, tHi:25397, tLo:29727, secToRun:966, secTrig:25, secDone:736, numReq:29, waterPerc:99, weightTarg:11600, readNowFeedKG:4416, calVal:6, hall:1, cage:1, boot:1, sw:20
2022-09-29 12:32:00,831 INFO id:58, name:S6B1, tHi:25397, tLo:29727, secToRun:666, secTrig:25, secDone:453, numReq:18, waterPerc:99, weightTarg:8000, readNowFeedKG:2718, calVal:6, hall:6, cage:1, boot:1, sw:17
2022-09-29 12:32:00,904 INFO id:59, name:S6B2, tHi:25397, tLo:29727, secToRun:633, secTrig:25, secDone:633, numReq:26, waterPerc:99, weightTarg:7600, readNowFeedKG:3798, calVal:6, hall:6, cage:2, boot:1, sw:17
2022-09-29 12:32:00,977 INFO id:60, name:S6B3, tHi:25397, tLo:29727, secToRun:633, secTrig:25, secDone:633, numReq:26, waterPerc:1, weightTarg:7600, readNowFeedKG:3798, calVal:6, hall:99, cage:99, boot:1, sw:17
2022-09-29 12:32:01,054 INFO id:61, name:S6B4, tHi:25397, tLo:29727, secToRun:633, secTrig:25, secDone:553, numReq:22, waterPerc:99, weightTarg:7600, readNowFeedKG:3318, calVal:6, hall:1, cage:1, boot:1, sw:19
2022-09-29 12:32:01,129 INFO id:62, name:S6B5, tHi:25397, tLo:29727, secToRun:633, secTrig:25, secDone:510, numReq:21, waterPerc:99, weightTarg:7600, readNowFeedKG:3060, calVal:6, hall:6, cage:5, boot:1, sw:17
2022-09-29 12:32:01,175 INFO id:2, name:S6B7, tHi:25397, tLo:29727, secToRun:958, secTrig:25, secDone:151, numReq:6, waterPerc:99, weightTarg:11500, readNowFeedKG:906, calVal:6, hall:1, cage:2, boot:1, sw:20
2022-09-29 12:32:01,220 INFO id:3, name:S6B8, tHi:25397, tLo:29727, secToRun:958, secTrig:25, secDone:629, numReq:25, waterPerc:99, weightTarg:11500, readNowFeedKG:3774, calVal:6, hall:6, cage:8, boot:1, sw:20
2022-09-29 12:32:01,265 INFO id:4, name:S6B9, tHi:25397, tLo:29727, secToRun:625, secTrig:25, secDone:625, numReq:25, waterPerc:1, weightTarg:8000, readNowFeedKG:3750, calVal:6, hall:3, cage:1, boot:1, sw:20
2022-09-29 12:32:01,310 INFO id:5, name:S6B10, tHi:25397, tLo:29727, secToRun:633, secTrig:25, secDone:633, numReq:26, waterPerc:99, weightTarg:7600, readNowFeedKG:3798, calVal:6, hall:6, cage:10, boot:1, sw:20
2022-09-29 12:32:01,353 INFO id:46, name:S7B1, tHi:25397, tLo:29727, secToRun:666, secTrig:25, secDone:534, numReq:21, waterPerc:99, weightTarg:8000, readNowFeedKG:3204, calVal:6, hall:7, cage:1, boot:1, sw:20
2022-09-29 12:32:01,391 INFO id:48, name:S7B3, tHi:25397, tLo:29728, secToRun:1266, secTrig:25, secDone:580, numReq:23, waterPerc:99, weightTarg:7600, readNowFeedKG:3480, calVal:6, hall:7, cage:3, boot:1, sw:20
2022-09-29 12:32:01,430 INFO id:49, name:S7B4, tHi:25397, tLo:29728, secToRun:625, secTrig:25, secDone:405, numReq:16, waterPerc:1, weightTarg:7500, readNowFeedKG:2430, calVal:6, hall:6, cage:5, boot:1, sw:20
2022-09-29 12:32:01,473 INFO id:50, name:S7B5, tHi:25397, tLo:29728, secToRun:666, secTrig:25, secDone:504, numReq:20, waterPerc:99, weightTarg:8000, readNowFeedKG:3024, calVal:6, hall:7, cage:5, boot:1, sw:20
2022-09-29 12:32:01,550 INFO id:51, name:S7B6, tHi:25397, tLo:29728, secToRun:500, secTrig:25, secDone:500, numReq:20, waterPerc:99, weightTarg:6000, readNowFeedKG:3000, calVal:6, hall:1, cage:1, boot:1, sw:19
2022-09-29 12:32:01,591 INFO id:52, name:S7B7, tHi:25397, tLo:29728, secToRun:583, secTrig:25, secDone:76, numReq:3, waterPerc:99, weightTarg:7000, readNowFeedKG:456, calVal:6, hall:7, cage:7, boot:1, sw:20
2022-09-29 12:32:01,630 INFO id:53, name:S7B8, tHi:25397, tLo:29728, secToRun:460, secTrig:10, secDone:92, numReq:9, waterPerc:99, weightTarg:9200, readNowFeedKG:920, calVal:10, hall:7, cage:8, boot:1, sw:20
2022-09-29 12:32:01,671 INFO id:54, name:S7B9, tHi:25397, tLo:29728, secToRun:633, secTrig:25, secDone:200, numReq:8, waterPerc:99, weightTarg:7600, readNowFeedKG:1200, calVal:6, hall:7, cage:9, boot:1, sw:20
2022-09-29 12:32:01,711 INFO id:55, name:S7B10, tHi:25397, tLo:29728, secToRun:633, secTrig:25, secDone:633, numReq:25, waterPerc:99, weightTarg:7600, readNowFeedKG:3798, calVal:6, hall:7, cage:10, boot:1, sw:20
2022-09-29 12:32:01,866 INFO id:47, name:S7B2, tHi:25397, tLo:29728, secToRun:475, secTrig:25, secDone:126, numReq:5, waterPerc:1, weightTarg:5700, readNowFeedKG:756, calVal:6, hall:7, cage:2, boot:1, sw:20
2022-09-29 12:32:01,887 INFO Lista ID offline [16, 31, 57]
2022-09-29 12:32:59,966 INFO LETTURA NORMALE IN CORSO...
2022-09-29 12:33:00,027 INFO id:37, name:S1B1, tHi:25397, tLo:29786, secToRun:633, secTrig:25, secDone:633, numReq:26, waterPerc:99, weightTarg:7600, readNowFeedKG:3798, calVal:6, hall:1, cage:1, boot:1, sw:19
2022-09-29 12:33:00,070 INFO id:17, name:S1B3, tHi:25397, tLo:29786, secToRun:1266, secTrig:25, secDone:613, numReq:25, waterPerc:99, weightTarg:7600, readNowFeedKG:3678, calVal:6, hall:1, cage:3, boot:1, sw:20
2022-09-29 12:33:00,109 INFO id:14, name:S1B4, tHi:25397, tLo:29786, secToRun:1266, secTrig:25, secDone:76, numReq:3, waterPerc:99, weightTarg:7600, readNowFeedKG:456, calVal:6, hall:1, cage:4, boot:1, sw:20
2022-09-29 12:33:00,148 INFO id:15, name:S1B5, tHi:25397, tLo:29786, secToRun:633, secTrig:25, secDone:351, numReq:14, waterPerc:99, weightTarg:7600, readNowFeedKG:2106, calVal:6, hall:1, cage:5, boot:1, sw:20
2022-09-29 12:33:00,228 INFO id:16, name:S1B6, tHi:0, tLo:39, secToRun:0, secTrig:25, secDone:0, numReq:0, waterPerc:99, weightTarg:7600, readNowFeedKG:0, calVal:0, hall:0, cage:0, boot:1, sw:19
2022-09-29 12:33:00,228 INFO id:16, name:S1B6, Sincronizzo orologio e impostato secondi erogati: 0 e kg: 0
2022-09-29 12:33:02,198 INFO updated id:16, name:S1B6, tHi:25397, tLo:29788, secToRun:0, secTrig:25, secDone:0, numReq:0, waterPerc:99, weightTarg:7600, readNowFeedKG:0, calVal:0, hall:0, cage:0, boot:1, sw:19
2022-09-29 12:33:02,233 INFO id:35, name:S1B7, tHi:25397, tLo:29788, secToRun:1933, secTrig:25, secDone:353, numReq:14, waterPerc:99, weightTarg:11600, readNowFeedKG:2118, calVal:6, hall:1, cage:7, boot:1, sw:20
2022-09-29 12:33:02,270 INFO id:36, name:S1B8, tHi:25397, tLo:29788, secToRun:966, secTrig:25, secDone:939, numReq:37, waterPerc:99, weightTarg:11600, readNowFeedKG:5634, calVal:6, hall:1, cage:8, boot:1, sw:20
2022-09-29 12:33:02,350 INFO id:39, name:S2B1, tHi:25397, tLo:29788, secToRun:580, secTrig:25, secDone:580, numReq:24, waterPerc:99, weightTarg:11600, readNowFeedKG:5800, calVal:10, hall:2, cage:1, boot:1, sw:19
2022-09-29 12:33:02,395 INFO id:32, name:S2B2, tHi:25397, tLo:29789, secToRun:633, secTrig:25, secDone:633, numReq:26, waterPerc:99, weightTarg:7600, readNowFeedKG:3798, calVal:6, hall:2, cage:2, boot:1, sw:20
2022-09-29 12:33:02,433 INFO id:19, name:S2B3, tHi:25397, tLo:29788, secToRun:958, secTrig:25, secDone:958, numReq:38, waterPerc:99, weightTarg:11500, readNowFeedKG:5748, calVal:6, hall:2, cage:3, boot:1, sw:20
2022-09-29 12:33:02,509 INFO id:12, name:S2B4, tHi:25397, tLo:29789, secToRun:958, secTrig:25, secDone:150, numReq:6, waterPerc:99, weightTarg:11500, readNowFeedKG:900, calVal:6, hall:2, cage:4, boot:1, sw:19
2022-09-29 12:33:02,550 INFO id:13, name:S2B5, tHi:25397, tLo:29789, secToRun:966, secTrig:25, secDone:966, numReq:39, waterPerc:99, weightTarg:11600, readNowFeedKG:5796, calVal:6, hall:2, cage:5, boot:1, sw:20
2022-09-29 12:33:02,595 INFO id:18, name:S2B6, tHi:25397, tLo:29789, secToRun:500, secTrig:25, secDone:102, numReq:4, waterPerc:99, weightTarg:7600, readNowFeedKG:612, calVal:6, hall:2, cage:6, boot:1, sw:20
2022-09-29 12:33:02,635 INFO id:33, name:S2B7, tHi:25397, tLo:29789, secToRun:633, secTrig:25, secDone:633, numReq:26, waterPerc:99, weightTarg:7600, readNowFeedKG:3798, calVal:6, hall:3, cage:7, boot:1, sw:20
2022-09-29 12:33:02,678 INFO id:38, name:S2B8, tHi:25397, tLo:29789, secToRun:500, secTrig:25, secDone:500, numReq:20, waterPerc:99, weightTarg:6800, readNowFeedKG:3000, calVal:6, hall:2, cage:8, boot:1, sw:20
2022-09-29 12:33:02,722 INFO id:41, name:S3B1, tHi:25397, tLo:29789, secToRun:633, secTrig:25, secDone:501, numReq:20, waterPerc:0, weightTarg:7600, readNowFeedKG:3006, calVal:6, hall:3, cage:1, boot:1, sw:20
2022-09-29 12:33:02,757 INFO id:30, name:S3B2, tHi:25397, tLo:29789, secToRun:633, secTrig:25, secDone:633, numReq:26, waterPerc:99, weightTarg:7600, readNowFeedKG:3798, calVal:6, hall:3, cage:2, boot:1, sw:20
2022-09-29 12:33:02,835 INFO id:21, name:S3B3, tHi:25397, tLo:29790, secToRun:966, secTrig:25, secDone:966, numReq:39, waterPerc:99, weightTarg:11600, readNowFeedKG:5796, calVal:6, hall:1, cage:1, boot:1, sw:19
2022-09-29 12:33:02,879 INFO id:10, name:S3B4, tHi:25397, tLo:29789, secToRun:958, secTrig:25, secDone:560, numReq:22, waterPerc:99, weightTarg:11500, readNowFeedKG:3360, calVal:6, hall:3, cage:4, boot:1, sw:20
2022-09-29 12:33:02,916 INFO id:11, name:S3B5, tHi:25397, tLo:29790, secToRun:958, secTrig:25, secDone:631, numReq:25, waterPerc:99, weightTarg:11500, readNowFeedKG:3786, calVal:6, hall:3, cage:5, boot:1, sw:20
2022-09-29 12:33:02,960 INFO id:20, name:S3B6, tHi:25397, tLo:29790, secToRun:633, secTrig:25, secDone:633, numReq:26, waterPerc:99, weightTarg:7600, readNowFeedKG:3798, calVal:6, hall:1, cage:1, boot:1, sw:20
2022-09-29 12:33:03,117 INFO id:40, name:S3B8, tHi:25397, tLo:29790, secToRun:958, secTrig:25, secDone:127, numReq:5, waterPerc:99, weightTarg:11500, readNowFeedKG:762, calVal:6, hall:3, cage:8, boot:1, sw:20
2022-09-29 12:33:03,163 INFO id:43, name:S4B1, tHi:25397, tLo:29790, secToRun:966, secTrig:25, secDone:530, numReq:21, waterPerc:99, weightTarg:11600, readNowFeedKG:3180, calVal:6, hall:4, cage:1, boot:1, sw:20
2022-09-29 12:33:03,204 INFO id:28, name:S4B2, tHi:25397, tLo:29790, secToRun:958, secTrig:25, secDone:958, numReq:39, waterPerc:99, weightTarg:11500, readNowFeedKG:5748, calVal:6, hall:4, cage:2, boot:1, sw:20
